"","plant","flat","position","genotype","treatment","date","week","day","internode2"
"142","13HMM",1,3,"Moneymaker","sun","10/14/10",5,15,13.06
"145","16H12",1,6,"phyB2/phyB1","sun","10/14/10",5,15,19.04
"149","102LMM",10,2,"Moneymaker","shade","10/14/10",5,15,42.23
"153","106L12",10,6,"phyB2/phyB1","shade","10/14/10",5,15,53.54
"156","21HMM",2,1,"Moneymaker","sun","10/14/10",5,15,12.36
"158","23H12",2,3,"phyB2/phyB1","sun","10/14/10",5,15,19.63
"165","33HMM",3,3,"Moneymaker","sun","10/14/10",5,15,16.17
"169","38H12",3,8,"phyB2/phyB1","sun","10/14/10",5,15,23.28
"170","41HMM",4,1,"Moneymaker","sun","10/14/10",5,15,9.87
"175","46H12",4,6,"phyB2/phyB1","sun","10/14/10",5,15,24.23
"179","52HMM",5,2,"Moneymaker","sun","10/14/10",5,15,10.81
"182","56H12",5,6,"phyB2/phyB1","sun","10/14/10",5,15,23.36
"187","63LMM",6,3,"Moneymaker","shade","10/14/10",5,15,17.42
"190","66L12",6,6,"phyB2/phyB1","shade","10/14/10",5,15,37.22
"193","71LMM",7,1,"Moneymaker","shade","10/14/10",5,15,38.89
"195","73L12",7,3,"phyB2/phyB1","shade","10/14/10",5,15,56.74
"203","83LMM",8,3,"Moneymaker","shade","10/14/10",5,15,30.86
"208","88L12",8,8,"phyB2/phyB1","shade","10/14/10",5,15,40.46
"209","91LMM",9,1,"Moneymaker","shade","10/14/10",5,15,38.4
"213","96L12",9,6,"phyB2/phyB1","shade","10/14/10",5,15,61.24
