genotype,treatment,flat,day,epi,int1,int2,int3,pet1,pet2,pet3,pet4
phyB1/B2,shade,1,21,24.03,3.18,0,0,14.11,4.88,0,0
phyB1/B2,shade,1,28,47.37,21.67,11.27,3.13,31.05,26.81,11.1,2.61
phyB1/B2,shade,1,35,58.83,40.6,72.29,52.7,42.15,49.6,49.58,30.49
phyB1/B2,shade,1,21,29.85,2.39,2.41,0,14.44,11.55,0,0
phyB1/B2,shade,1,28,59.69,3.36,25.52,6.62,35.1,29.15,20.05,9.39
phyB1/B2,shade,1,35,69.55,4.91,56.64,35.52,49.81,34.65,47.58,40.54
phyB1/B2,shade,2,21,17.64,2.39,0,0,12.52,5.51,0,0
phyB1/B2,shade,2,28,57.26,29.38,12.93,3.01,35.9,31.32,12.28,3.65
phyB1/B2,shade,2,35,70.22,62.61,59.66,31.25,46.28,56.79,47.93,28.4
phyB1/B2,shade,3,21,26.52,6.24,0,0,19.62,11.9,0,0
phyB1/B2,shade,3,28,47.5,23.01,20.19,4.48,35.5,43.85,19.22,6.79
phyB1/B2,shade,3,35,54.6,38.64,67.62,35.19,39.11,66.57,68.85,53.21
phyB1/B2,shade,3,21,23.88,4.16,0,0,17.91,4.96,0,0
phyB1/B2,shade,3,28,50.76,32.37,17.34,3.15,39,32.82,11.37,4.11
phyB1/B2,shade,3,35,58.16,55.31,104.74,39.97,44.85,65.33,60.64,43.54
phyB1/B2,shade,5,21,18.4,3.45,0,0,15.52,3.9,0,0
phyB1/B2,shade,5,28,53.33,27.32,12.97,3.06,31.41,23.21,12.85,4.18
phyB1/B2,shade,5,35,59.88,58.67,74.77,33.33,36.4,39.28,50.71,33.98
phyB1/B2,sun,1,21,16.9,6.07,3.51,0,15.19,9.79,0,0
phyB1/B2,sun,1,28,30.23,20.94,20.94,8.43,26.31,28.99,26.24,17.27
phyB1/B2,sun,1,35,37.38,28.14,32.34,15.44,32.52,39.85,45.45,42.38
phyB1/B2,sun,1,21,17.3,2.51,0,0,17.95,2.85,0,0
phyB1/B2,sun,1,28,57.72,20.1,8.05,1.95,39.91,17.84,9.74,2.64
phyB1/B2,sun,1,35,66.53,36.08,25.82,19.14,50.46,49.34,49.63,38.7
phyB1/B2,sun,2,21,11.33,0.24,0,0,10.45,8.35,0,0
phyB1/B2,sun,2,28,33.19,1.99,18.22,1.51,26.11,29.51,8.52,4.15
phyB1/B2,sun,2,35,43.99,3.02,37.02,12.15,36.14,40.57,29.88,27.69
phyB1/B2,sun,3,21,15.41,3.05,0,0,14.33,3.19,0,0
phyB1/B2,sun,3,28,51.92,23.76,10.53,3.18,38.73,22.32,10.44,1.34
phyB1/B2,sun,3,35,67.73,41.21,30.41,20.6,45.82,53.15,44.34,17.87
phyB1/B2,sun,3,21,15.98,3.42,0,0,13.5,4.05,0,0
phyB1/B2,sun,3,28,50.88,27.6,13.56,2.84,41.16,24.93,12.18,2.92
phyB1/B2,sun,3,35,59.9,45.39,39.43,22.26,51.76,53.4,58.32,37.05
phyB1/B2,sun,5,21,19.22,2.17,0,0,11.49,6.67,0,0
phyB1/B2,sun,5,28,57.49,17.08,10.63,2.03,33.18,30.64,8.61,1.45
phyB1/B2,sun,5,35,71.59,31.63,45.72,23.95,44.29,65.48,43.06,22.3
phyEami3,shade,1,21,5.39,2.65,0,0,14.85,7.77,0,0
phyEami3,shade,1,28,11.19,9.68,6.9,7.58,33.12,26.73,23.64,23.63
phyEami3,shade,1,35,17.56,21.75,18.68,29.44,38.45,40.36,50.76,72.12
phyEami3,shade,2,21,12.91,0.92,0,0,7.93,5.47,0,0
phyEami3,shade,2,28,37.84,5.57,9.76,2.72,38.84,36.35,16.31,6.21
phyEami3,shade,2,35,60.65,13.49,47.05,24.56,74.41,91.35,70.59,58.01
phyEami3,shade,5,21,8.79,2.69,0,0,14.89,3.47,0,0
phyEami3,shade,5,28,28.55,18.94,8.37,3.52,49.06,33.34,19.26,3.37
phyEami3,shade,5,35,42.75,54.18,51.92,41.96,69.9,85.7,81.31,40.02
phyEami3,shade,5,21,10.21,2.76,0,0,14.18,4.44,0,0
phyEami3,shade,5,28,28.84,14.65,6.69,3.47,43.28,30,18.43,7.76
phyEami3,shade,5,35,43.62,40.79,32.68,32.72,64.56,81.16,78.71,62.76
phyEami3,shade,6,21,8.6,2.01,0,0,15.71,3.99,0,0
phyEami3,shade,6,28,27.55,18.42,7.43,4.05,54.02,35.63,18.52,3.95
phyEami3,shade,6,35,41.19,52.25,41.95,30.71,81.25,92.87,88.74,46.56
phyEami3,shade,6,21,9.36,1.39,0,0,11.66,3.2,0,0
phyEami3,shade,6,28,31.4,31.52,17.79,3.47,48.48,32.03,17.13,3.29
phyEami3,shade,6,35,49.12,48.29,48.01,29.91,85.22,95.14,93.37,38.98
phyEami3,sun,1,21,7.13,0.56,0,0,12.55,4.92,0,0
phyEami3,sun,1,28,22.71,6.33,6.57,2.86,44.46,31.7,17.34,7.42
phyEami3,sun,1,35,31.98,12.13,19.42,20.5,71.52,62.23,75.68,57.52
phyEami3,sun,2,21,5.7,2.34,0,0,14.4,3.21,0,0
phyEami3,sun,2,28,18.77,13.15,4.61,1.52,41.02,25.68,11,3.84
phyEami3,sun,2,35,26.98,28.51,15.66,12.88,64.46,70.37,52.62,41.95
phyEami3,sun,5,21,5.65,1.12,0,0,13.35,3.63,0,0
phyEami3,sun,5,28,20.94,13.69,6.91,2.79,44.32,28.97,16.04,3.72
phyEami3,sun,5,35,30.78,24.65,26.9,17.85,68.64,74.43,77.2,36.3
phyEami3,sun,5,21,6.99,1.59,0,0,8.64,2.08,0,0
phyEami3,sun,5,28,20.82,12.81,3.95,1.75,38.98,22.92,11.36,1.94
phyEami3,sun,5,35,33.3,34.98,28.85,20.25,74.46,78.72,65.91,31.22
phyEami3,sun,6,21,5.46,2,0,0,11.7,4.06,0,0
phyEami3,sun,6,28,15.64,9.8,6.33,2.1,38,28.5,15.48,3.8
phyEami3,sun,6,35,21.76,17.73,18.67,16.03,59.47,70.26,64.29,34.13
phyEami3,sun,6,21,6.33,1.37,0,0,6.23,3.37,0,0
phyEami3,sun,6,28,20.91,11.08,5.38,1.86,26.74,28.31,11.1,2.13
phyEami3,sun,6,35,31.21,24.81,20.44,15.66,45.6,79.99,61.02,23.78
phyEami3,shade,1,21,10.15,2.82,0.62,0,17.35,6.46,0,0
phyEami3,shade,1,28,27.22,17.52,9.45,4.17,48.66,42.82,21.34,6.49
phyEami3,shade,1,35,36.27,34.18,35.25,23.27,72.18,88.05,88.93,43.68
phyEami3,shade,1,21,7.66,1.05,0,0,9.2,1.54,0,0
phyEami3,shade,1,28,26.3,12.98,4.47,0.76,33.14,17.2,6.35,0.74
phyEami3,shade,1,35,40.5,32.05,25.95,10.15,55.29,60.69,44.11,16.67
phyEami3,shade,4,21,10.78,2.71,0,0,16.24,2.5,0,0
phyEami3,shade,4,28,31.59,23.25,6.27,4.19,55.36,25.19,14.37,4.66
phyEami3,shade,4,35,43.22,60.46,37.06,31.78,82.63,64.16,65.35,39.17
phyEami3,shade,5,21,11.15,2.21,0,0,18.26,5.8,0,0
phyEami3,shade,5,28,35.65,20.84,9.95,4.98,64.4,47.74,17.41,7.52
phyEami3,shade,5,35,47.2,45.87,38.28,31.63,90.24,95.05,57.9,56.46
phyEami3,shade,5,21,9.91,2.85,0,0,14.7,6.1,0,0
phyEami3,shade,5,28,29.42,17.2,9.22,4.37,51.36,37.68,12.09,4.88
phyEami3,shade,5,35,43.48,38.52,39.61,26.87,91.87,87.5,51,42.85
phyEami3,shade,6,21,4.82,1.61,0,0,7.47,2.66,0,0
phyEami3,shade,6,28,14.17,13.82,5.5,1.33,26.1,10.81,5.17,1.22
phyEami3,shade,6,35,26.36,43.5,29.08,18.76,51.06,36.75,18.52,11.66
phyEami3,sun,1,21,7.49,1.16,0,0,8.51,3.36,0,0
phyEami3,sun,1,28,26.15,14.85,5.08,1.27,32.72,27.27,6.72,1.8
phyEami3,sun,1,35,38.93,30.66,19.53,9.02,57.52,65.66,45.75,32.15
phyEami3,sun,1,21,9.74,2.33,0,0,12.9,4.23,0,0
phyEami3,sun,1,28,25.88,16.26,5.6,1.9,43.46,28.82,9.77,2.35
phyEami3,sun,1,35,33.25,30.3,14.89,16.07,76,78.24,49.58,32.63
phyEami3,sun,6,21,4.88,1.24,0,0,7.48,1.97,0,0
phyEami3,sun,6,28,15.07,11.33,2.81,0.41,31.72,13.84,5.25,1.15
phyEami3,sun,6,35,24.67,27.51,10.75,8.79,55.79,36.44,25.96,11.97
phyEami7,shade,2,21,7.42,0.88,0,0,7.72,2.53,0,0
phyEami7,shade,2,28,20.13,8.97,5.27,2.08,31.89,25.59,11.48,1.86
phyEami7,shade,2,35,39.16,31.13,40.15,24.13,53.58,64.96,64.12,19.67
phyEami7,shade,2,21,7.69,2.47,0,0,14.6,3.08,0,0
phyEami7,shade,2,28,20.19,13.66,7.56,2.56,43.53,28.63,15.3,2.68
phyEami7,shade,2,35,27.71,29.05,31.93,21.61,70.73,71.8,68.93,30.59
phyEami7,shade,3,21,9.79,1.78,0,0,14.11,2.87,0,0
phyEami7,shade,3,28,29.31,15.86,7.95,1.71,48.4,33.29,11.96,2.65
phyEami7,shade,3,35,43.18,44.59,50.15,25.79,80.63,87.41,72.11,33.61
phyEami7,shade,4,21,11.07,3.96,0,0,17.32,7.07,0,0
phyEami7,shade,4,28,28.57,20.5,11.88,3.33,51.63,43.64,22.21,5.1
phyEami7,shade,4,35,37.34,40.13,61.11,35.06,74.65,89.41,84.21,45.45
phyEami7,shade,5,21,5.53,2.13,0,0,12.46,3.42,0,0
phyEami7,shade,5,28,18.6,15.25,8.9,3.71,43.21,31.71,16.22,3.11
phyEami7,shade,5,35,25.82,32.72,41.66,25.35,67.24,75.55,70.26,38.04
phyEami7,shade,6,21,6.32,2.53,0,0,13.1,7.45,0,0
phyEami7,shade,6,28,18.98,15.08,9.37,3.38,42.67,45.88,16.11,6.56
phyEami7,shade,6,35,27.59,35.7,50.44,33.24,56.79,91.48,75.32,61.1
phyEami7,sun,2,21,7.6,1.99,0,0,10.5,2.63,0,0
phyEami7,sun,2,28,17.8,9.89,7.36,1.45,34.76,24.87,13.24,2.38
phyEami7,sun,2,35,26.56,18.81,23.98,18.02,57.68,63.26,67.39,32.52
phyEami7,sun,4,21,7.62,2.2,0,0,12.4,3.3,0,0
phyEami7,sun,4,28,23.3,11.52,6.93,3.37,38.28,22.95,13.26,5.01
phyEami7,sun,4,35,32.1,21.65,20.5,18.04,60.9,57.37,58.29,46.57
phyEami7,sun,6,21,4.57,2.41,0,0,12.1,9.99,0,0
phyEami7,sun,6,28,7.68,7.23,5.73,4.29,30,34.55,19.4,15.53
phyEami7,sun,6,35,11.45,10.87,11.71,17.68,41.37,62.04,47.85,56.35
