plant,genotype,treatment,start,flat,rep,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,
E7S4.5,E7,sun,1,,1,20.71,3/12/15 9:42,28.03,3/12/15 9:43,28.53,3/12/15 9:43,22.75,3/12/15 9:43,56.74,3/12/15 9:44,56.74,3/12/15 9:44,63.21,3/12/15 9:45,28.52,3/12/15 9:45
MMS4.8,MM,sun,1,,1,21.31,3/12/15 9:46,21.1,3/12/15 9:46,24.6,3/12/15 9:47,17.25,3/12/15 9:47,60.32,3/12/15 9:47,94.27,3/12/15 9:47,40.38,3/12/15 9:48,29.88,3/12/15 9:48
1E7S4.1,1E7,sun,1,,1,38.15,3/12/15 9:48,33.72,3/12/15 9:48,29.28,3/12/15 9:49,12.05,3/12/15 9:49,58.43,3/12/15 9:49,73.34,3/12/15 9:49,36.01,3/12/15 9:49,24.29,3/12/15 9:50
B2S4.2,B2,sun,1,,1,16.8,3/12/15 9:51,25.87,3/12/15 9:51,26.64,3/12/15 9:51,15.71,3/12/15 9:51,46.42,3/12/15 9:52,61.89,3/12/15 9:52,53.6,3/12/15 9:52,35.54,3/12/15 9:53
QD7S4.x,QD7,sun,1,,1,52.06,3/12/15 9:54,32.28,3/12/15 9:54,28.08,3/12/15 9:54,6.06,3/12/15 9:55,60.21,3/12/15 9:55,36.43,3/12/15 9:55,21.08,3/12/15 9:55,5.4,3/12/15 9:55
2E7S3.5,2E7,sun,1,,1,17.6,3/12/15 9:57,21.91,3/12/15 9:57,27.23,3/12/15 9:57,18.51,3/12/15 9:57,73.29,3/12/15 9:58,86.17,3/12/15 9:58,52.17,3/12/15 9:58,27.91,3/12/15 9:59
QD3S3.7,QD3,sun,1,,1,80.18,3/12/15 9:59,24.59,3/12/15 10:00,3.46,3/12/15 10:00,0,3/12/15 10:00,22.67,3/12/15 10:00,16.4,3/12/15 10:01,4.31,3/12/15 10:01,0,3/12/15 10:01
TR7S3.8,TR7,sun,1,,1,51.77,3/12/15 10:04,102.69,3/12/15 10:04,88.73,3/12/15 10:04,34.45,3/12/15 10:04,35.13,3/12/15 10:05,47.96,3/12/15 10:05,41.28,3/12/15 10:05,34.67,3/12/15 10:05
B2S3.1,B2,sun,1,,1,17.35,3/12/15 10:07,23.5,3/12/15 10:07,32.78,3/12/15 10:07,19.21,3/12/15 10:07,58.69,3/12/15 10:08,80.25,3/12/15 10:08,59.31,3/12/15 10:08,40.01,3/12/15 10:08
B12S3.2,B12,sun,1,,1,33.94,3/12/15 10:10,32.58,3/12/15 10:10,42.81,3/12/15 10:10,33.1,3/12/15 10:11,55.86,3/12/15 10:11,81.1,3/12/15 10:12,75.3,3/12/15 10:12,32.74,3/12/15 10:12
AS3.3,A,sun,1,,1,23.82,3/12/15 10:13,28.61,3/12/15 10:13,33.87,3/12/15 10:13,18.69,3/12/15 10:13,55.34,3/12/15 10:14,85.63,3/12/15 10:14,61.83,3/12/15 10:14,36.66,3/12/15 10:15
1E7S3.4,1E7,sun,1,,1,46.46,3/12/15 10:19,27.85,3/12/15 10:19,20.88,3/12/15 10:19,17.2,3/12/15 10:19,58.24,3/12/15 10:20,80.05,3/12/15 10:20,26.89,3/12/15 10:20,13.64,3/12/15 10:21
2E7S2.6,2E7,sun,1,,1,19.72,3/12/15 10:25,18.35,3/12/15 10:25,23.88,3/12/15 10:25,14.15,3/12/15 10:26,59.89,3/12/15 10:26,91.8,3/12/15 10:26,56.19,3/12/15 10:26,28.69,3/12/15 10:27
MMS2.8,MM,sun,1,,1,13.25,3/12/15 10:28,20.09,3/12/15 10:28,16.51,3/12/15 10:28,8.48,3/12/15 10:28,51.11,3/12/15 10:28,58.3,3/12/15 10:29,33.27,3/12/15 10:29,10.72,3/12/15 10:29
QD7S2.1,QD7,sun,1,,1,57.36,3/12/15 10:30,80,3/12/15 10:31,88.09,3/12/15 10:31,25.27,3/12/15 10:31,33.96,3/12/15 10:31,41,3/12/15 10:32,26.45,3/12/15 10:32,17.07,3/12/15 10:32
