plant,flat,position,genotype,treatment,date,week,day,petiole1,petiole2,petiole3,petiole4,internode1,internode2,internode3
11HB1,1,1,phyB1,sun,9/30/10,3,1,8.21,1.26,NA,NA,NA,NA,NA
12H82,1,2,M82,sun,9/30/10,3,1,6.39,2.45,NA,NA,NA,NA,NA
13HMM,1,3,Moneymaker,sun,9/30/10,3,1,4.59,0.45,NA,NA,NA,NA,NA
14HVF,1,4,VFNT Cherry,sun,9/30/10,3,1,11.54,2.65,NA,NA,NA,NA,NA
15HH2,1,5,HP2,sun,9/30/10,3,1,3.6,0.4,NA,NA,NA,NA,NA
16H12,1,6,phyB2/phyB1,sun,9/30/10,3,1,8.43,0.78,NA,NA,NA,NA,NA
17HTL,1,7,fel-1,sun,9/30/10,3,1,7.59,1.46,NA,NA,NA,NA,NA
18HB2,1,8,phyB2,sun,9/30/10,3,1,5.54,0.43,NA,NA,NA,NA,NA
101LB2,10,1,phyB2,shade,9/30/10,3,1,10.18,3.78,NA,NA,NA,NA,NA
102LMM,10,2,Moneymaker,shade,9/30/10,3,1,8.48,1.51,NA,NA,NA,NA,NA
103LH2,10,3,HP2,shade,9/30/10,3,1,4.66,0.63,NA,NA,NA,NA,NA
104LB1,10,4,phyB1,shade,9/30/10,3,1,10.95,0.69,NA,NA,NA,NA,NA
105LTL,10,5,fel-1,shade,9/30/10,3,1,13.78,3.42,NA,NA,NA,NA,NA
106L12,10,6,phyB2/phyB1,shade,9/30/10,3,1,11.81,4.51,NA,NA,NA,NA,NA
107L82,10,7,M82,shade,9/30/10,3,1,5.96,0.46,NA,NA,NA,NA,NA
108LVF,10,8,VFNT Cherry,shade,9/30/10,3,1,14.76,4.21,NA,NA,NA,NA,NA
32H82,3,2,M82,sun,9/30/10,3,1,6.4,1.75,NA,NA,NA,NA,NA
33HMM,3,3,Moneymaker,sun,9/30/10,3,1,4.63,0.71,NA,NA,NA,NA,NA
34HB1,3,4,phyB1,sun,9/30/10,3,1,5.14,0.78,NA,NA,NA,NA,NA
35HB2,3,5,phyB2,sun,9/30/10,3,1,5.62,1.51,NA,NA,NA,NA,NA
37HVF,3,7,VFNT Cherry,sun,9/30/10,3,1,12.06,2.99,NA,NA,NA,NA,NA
38H12,3,8,phyB2/phyB1,sun,9/30/10,3,1,5.29,0.6,NA,NA,NA,NA,NA
46H12,4,6,phyB2/phyB1,sun,9/30/10,3,1,6.37,0.65,NA,NA,NA,NA,NA
47HB1,4,7,phyB1,sun,9/30/10,3,1,6.05,0.67,NA,NA,NA,NA,NA
48HVF,4,8,VFNT Cherry,sun,9/30/10,3,1,8.06,2.05,NA,NA,NA,NA,NA
51HB2,5,1,phyB2,sun,9/30/10,3,1,7.76,1.69,NA,NA,NA,NA,NA
52HMM,5,2,Moneymaker,sun,9/30/10,3,1,5.08,0.33,NA,NA,NA,NA,NA
53HH2,5,3,HP2,sun,9/30/10,3,1,3.3,0.23,NA,NA,NA,NA,NA
54HB1,5,4,phyB1,sun,9/30/10,3,1,6.96,2.7,NA,NA,NA,NA,NA
56H12,5,6,phyB2/phyB1,sun,9/30/10,3,1,5.63,1.21,NA,NA,NA,NA,NA
57H82,5,7,M82,sun,9/30/10,3,1,6.52,1.68,NA,NA,NA,NA,NA
58HVF,5,8,VFNT Cherry,sun,9/30/10,3,1,11.09,3.6,NA,NA,NA,NA,NA
61LB1,6,1,phyB1,shade,9/30/10,3,1,10.72,1.8,NA,NA,NA,NA,NA
62L82,6,2,M82,shade,9/30/10,3,1,11.41,2.52,NA,NA,NA,NA,NA
63LMM,6,3,Moneymaker,shade,9/30/10,3,1,7.98,2.47,NA,NA,NA,NA,NA
64LVF,6,4,VFNT Cherry,shade,9/30/10,3,1,9.71,3.65,NA,NA,NA,NA,NA
65LH2,6,5,HP2,shade,9/30/10,3,1,4.98,0.8,NA,NA,NA,NA,NA
66L12,6,6,phyB2/phyB1,shade,9/30/10,3,1,11.12,1.29,NA,NA,NA,NA,NA
67LTL,6,7,fel-1,shade,9/30/10,3,1,11.96,2.73,NA,NA,NA,NA,NA
68LB2,6,8,phyB2,shade,9/30/10,3,1,7.21,1.18,NA,NA,NA,NA,NA
71LMM,7,1,Moneymaker,shade,9/30/10,3,1,7.38,1.04,NA,NA,NA,NA,NA
72L82,7,2,M82,shade,9/30/10,3,1,5.83,0.96,NA,NA,NA,NA,NA
73L12,7,3,phyB2/phyB1,shade,9/30/10,3,1,12.01,1.27,NA,NA,NA,NA,NA
74LB1,7,4,phyB1,shade,9/30/10,3,1,10.12,1.75,NA,NA,NA,NA,NA
75LVF,7,5,VFNT Cherry,shade,9/30/10,3,1,14,4.93,NA,NA,NA,NA,NA
76LB2,7,6,phyB2,shade,9/30/10,3,1,10.08,2.13,NA,NA,NA,NA,NA
77LTL,7,7,fel-1,shade,9/30/10,3,1,6.74,0.81,NA,NA,NA,NA,NA
78LH2,7,8,HP2,shade,9/30/10,3,1,4.71,0.74,NA,NA,NA,NA,NA
81LH2,8,1,HP2,shade,9/30/10,3,1,4.49,0.52,NA,NA,NA,NA,NA
82L82,8,2,M82,shade,9/30/10,3,1,14.28,2.72,NA,NA,NA,NA,NA
83LMM,8,3,Moneymaker,shade,9/30/10,3,1,5.19,1.06,NA,NA,NA,NA,NA
84LB1,8,4,phyB1,shade,9/30/10,3,1,8.14,1.26,NA,NA,NA,NA,NA
85LB2,8,5,phyB2,shade,9/30/10,3,1,12.41,2.25,NA,NA,NA,NA,NA
86LTL,8,6,fel-1,shade,9/30/10,3,1,10.9,1.8,NA,NA,NA,NA,NA
87LVF,8,7,VFNT Cherry,shade,9/30/10,3,1,14.36,4.6,NA,NA,NA,NA,NA
88L12,8,8,phyB2/phyB1,shade,9/30/10,3,1,9.88,1.21,NA,NA,NA,NA,NA
