genotype,light,rep,plant,length,species
phyA,sun,1,1,3.259,Ler
phyA,sun,1,2,0.636,Ler
phyA,sun,1,3,3.558,Ler
phyA,sun,1,4,3.514,Ler
phyA,sun,1,5,1.103,Ler
phyA,sun,1,6,1.059,Ler
phyA,sun,1,7,2.963,Ler
phyA,sun,1,8,3.258,Ler
phyA,sun,1,9,2.075,Ler
phyA,sun,1,10,1.609,Ler
phyA,sun,1,11,1.313,Ler
phyA,sun,1,12,2.075,Ler
phyA,sun,1,13,1.65,Ler
phyA,sun,1,14,1.87,Ler
phyA,sun,1,15,1.525,Ler
phyB,sun,1,1,4.319,Ler
phyB,sun,1,2,2.37,Ler
phyB,sun,1,3,4.142,Ler
phyB,sun,1,4,2.666,Ler
phyB,sun,1,5,2.285,Ler
phyB,sun,1,6,1.947,Ler
phyB,sun,1,7,2.455,Ler
phyB,sun,1,8,3.05,Ler
phyB,sun,1,9,2.964,Ler
phyB,sun,1,10,2.496,Ler
phyB,sun,1,11,5.376,Ler
phyB,sun,1,12,5.082,Ler
phyB,sun,1,13,2.836,Ler
phyB,sun,1,14,2.159,Ler
phyB,sun,1,15,1.609,Ler
phyB,sun,1,16,2.624,Ler
phyB,sun,1,17,3.386,Ler
phyBDE,sun,1,1,1.439,Ler
phyBDE,sun,1,2,3.218,Ler
phyBDE,sun,1,3,4.149,Ler
phyBDE,sun,1,4,3.22,Ler
phyBDE,sun,1,5,5.679,Ler
phyBDE,sun,1,6,5.164,Ler
phyBDE,sun,1,7,3.5,Ler
phyBDE,sun,1,8,3.266,Ler
phyBDE,sun,1,9,5.291,Ler
phyBDE,sun,1,10,2.413,Ler
phyBDE,sun,1,11,2.457,Ler
phyBD,sun,1,1,2.878,Ler
phyBD,sun,1,2,4.95,Ler
phyBD,sun,1,3,6.56,Ler
phyBD,sun,1,4,4.615,Ler
phyBD,sun,1,5,4.586,Ler
phyBD,sun,1,6,4.022,Ler
phyBD,sun,1,7,4.321,Ler
phyBD,sun,1,8,3.385,Ler
phyBD,sun,1,9,3.472,Ler
phyD,sun,1,1,2.122,Ler
phyD,sun,1,2,1.898,Ler
phyD,sun,1,3,1.948,Ler
phyD,sun,1,4,1.864,Ler
phyD,sun,1,5,1.228,Ler
phyD,sun,1,6,2.419,Ler
phyD,sun,1,7,2.499,Ler
phyD,sun,1,8,1.273,Ler
phyD,sun,1,9,2.038,Ler
phyD,sun,1,10,1.993,Ler
phyD,sun,1,11,1.736,Ler
phyD,sun,1,12,1.781,Ler
phyD,sun,1,13,1.308,Ler
phyD,sun,1,14,1.78,Ler
phyD,sun,1,15,1.27,Ler
phyD,sun,1,16,1.061,Ler
phyD,sun,1,17,1.144,Ler
phyD,sun,1,18,1.566,Ler
phyD,sun,1,19,1.355,Ler
phyD,sun,1,20,1.355,Ler
phyD,sun,1,21,1.814,Ler
Ler,sun,1,1,2.074,Ler
Ler,sun,1,2,2.308,Ler
Ler,sun,1,3,2.285,Ler
Ler,sun,1,4,2.625,Ler
Ler,sun,1,5,1.435,Ler
Ler,sun,1,6,1.82,Ler
Ler,sun,1,7,1.27,Ler
Ler,sun,1,8,0.593,Ler
Ler,sun,1,9,1.609,Ler
Ler,sun,1,10,2.246,Ler
Ler,sun,1,11,2.465,Ler
Ler,sun,1,12,2.202,Ler
Ler,sun,1,13,1.99,Ler
Ler,sun,1,14,1.568,Ler
Ler,sun,1,15,1.523,Ler
Ler,sun,1,16,1.313,Ler
Ler,sun,1,17,1.566,Ler
Ler,sun,1,18,1.227,Ler
Ler,sun,1,19,2.457,Ler
Ler,sun,1,20,1.819,Ler
Ler,sun,1,21,1.561,Ler
Ler,sun,1,22,1.355,Ler
Ler,sun,1,23,1.947,Ler
phyE,sun,1,1,1.863,Ler
phyE,sun,1,2,2.625,Ler
phyE,sun,1,3,2.243,Ler
phyE,sun,1,4,1.813,Ler
phyE,sun,1,5,0.89,Ler
phyE,sun,1,6,1.99,Ler
phyE,sun,1,7,2.922,Ler
phyE,sun,1,8,3.429,Ler
phyE,sun,1,9,2.627,Ler
phyE,sun,1,10,1.864,Ler
phyE,sun,1,11,1.778,Ler
phyE,sun,1,12,1.993,Ler
phyE,sun,1,13,3.557,Ler
phyE,sun,1,14,1.567,Ler
phyE,sun,1,15,2.16,Ler
phyE,sun,1,16,0.802,Ler
phyE,sun,1,17,1.313,Ler
phyE,sun,1,18,1.102,Ler
phyE,sun,1,19,3.599,Ler
hy2,sun,1,1,5.759,Ler
hy2,sun,1,2,7.62,Ler
hy2,sun,1,3,5.781,Ler
hy2,sun,1,4,5.927,Ler
hy2,sun,1,5,8.381,Ler
hy2,sun,1,6,4.275,Ler
hy2,sun,1,7,5.375,Ler
hy2,sun,1,8,7.238,Ler
hy2,sun,1,9,3.176,Ler
hy2,sun,1,10,4.658,Ler
hy2,sun,1,11,6.943,Ler
hy2,sun,1,12,6.348,Ler
hy2,sun,1,13,6.014,Ler
hy2,sun,1,14,4.445,Ler
hy2,sun,1,15,4.957,Ler
hy2,sun,1,16,8.336,Ler
hy2,sun,1,17,7.411,Ler
hy2,sun,1,18,8.722,Ler
hy2,sun,1,19,6.859,Ler
hy2,sun,1,20,5.082,Ler
hy2,sun,1,21,6.18,Ler
hy2,sun,1,22,8.085,Ler
phyA,sun,2,1,2.931,Ler
phyA,sun,2,2,3.768,Ler
phyA,sun,2,3,1.059,Ler
phyA,sun,2,4,2.165,Ler
phyA,sun,2,5,3.103,Ler
phyA,sun,2,6,1.566,Ler
phyA,sun,2,7,2.202,Ler
phyA,sun,2,8,1.822,Ler
phyA,sun,2,9,3.049,Ler
phyBD,sun,2,1,4.15,Ler
phyBD,sun,2,2,5.674,Ler
phyBD,sun,2,3,5.884,Ler
phyBD,sun,2,4,2.878,Ler
phyBD,sun,2,5,4.996,Ler
phyBD,sun,2,6,2.201,Ler
phyBD,sun,2,7,2.878,Ler
phyBD,sun,2,8,3.008,Ler
phyBD,sun,2,9,3.556,Ler
Ler,sun,2,1,1.991,Ler
Ler,sun,2,2,1.813,Ler
Ler,sun,2,3,1.862,Ler
Ler,sun,2,4,1.017,Ler
Ler,sun,2,5,1.821,Ler
Ler,sun,2,6,1.863,Ler
Ler,sun,2,7,2.519,Ler
Ler,sun,2,8,3.132,Ler
Ler,sun,2,9,2.709,Ler
Ler,sun,2,10,3.133,Ler
Ler,sun,2,11,2.764,Ler
Ler,sun,2,12,2.194,Ler
Ler,sun,2,13,1.69,Ler
Ler,sun,2,14,2.458,Ler
Ler,sun,2,15,1.353,Ler
Ler,sun,2,16,1.78,Ler
Ler,sun,2,17,1.651,Ler
Ler,sun,2,18,1.271,Ler
Ler,sun,2,19,2.329,Ler
Ler,sun,2,20,1.227,Ler
phyD,sun,2,1,1.397,Ler
phyD,sun,2,2,1.61,Ler
phyD,sun,2,3,1.947,Ler
phyD,sun,2,4,1.312,Ler
phyD,sun,2,5,1.524,Ler
phyD,sun,2,6,1.355,Ler
phyD,sun,2,7,1.355,Ler
phyD,sun,2,8,2.072,Ler
phyD,sun,2,9,1.735,Ler
phyD,sun,2,10,2.16,Ler
phyD,sun,2,11,3.177,Ler
phyD,sun,2,12,2.451,Ler
phyD,sun,2,13,3.055,Ler
phyD,sun,2,14,0.974,Ler
phyD,sun,2,15,1.735,Ler
phyD,sun,2,16,0.847,Ler
phyD,sun,2,17,1.657,Ler
phyD,sun,2,18,1.48,Ler
phyBDE,sun,2,1,5.253,Ler
phyBDE,sun,2,2,5.885,Ler
phyBDE,sun,2,3,2.541,Ler
phyBDE,sun,2,4,2.244,Ler
phyBDE,sun,2,5,1.482,Ler
phyBDE,sun,2,6,2.414,Ler
phyBDE,sun,2,7,2.159,Ler
phyBDE,sun,2,8,2.837,Ler
phyBDE,sun,2,9,2.669,Ler
phyE,sun,2,1,2.18,Ler
phyE,sun,2,2,1.777,Ler
phyE,sun,2,3,2.252,Ler
phyE,sun,2,4,2.369,Ler
phyE,sun,2,5,1.439,Ler
phyE,sun,2,6,1.611,Ler
phyE,sun,2,7,2.28,Ler
phyE,sun,2,8,2.867,Ler
phyE,sun,2,9,1.483,Ler
phyE,sun,2,10,1.19,Ler
phyE,sun,2,11,3.219,Ler
phyE,sun,2,12,1.82,Ler
phyE,sun,2,13,1.812,Ler
phyE,sun,2,14,2.074,Ler
phyE,sun,2,15,2.666,Ler
hy2,sun,2,1,8.806,Ler
hy2,sun,2,2,7.998,Ler
hy2,sun,2,3,6.605,Ler
hy2,sun,2,4,3.767,Ler
hy2,sun,2,5,6.436,Ler
hy2,sun,2,6,6.393,Ler
hy2,sun,2,7,7.322,Ler
hy2,sun,2,8,6.65,Ler
hy2,sun,2,9,7.578,Ler
hy2,sun,2,10,6.562,Ler
hy2,sun,2,11,5.853,Ler
hy2,sun,2,12,4.782,Ler
hy2,sun,2,13,10.333,Ler
hy2,sun,2,14,7.285,Ler
hy2,sun,2,15,5.969,Ler
hy2,sun,2,16,7.281,Ler
hy2,sun,2,17,9.823,Ler
hy2,sun,2,18,7.368,Ler
hy2,sun,2,19,5.419,Ler
hy2,sun,2,20,3.727,Ler
hy2,sun,2,21,5.758,Ler
hy2,sun,2,22,7.493,Ler
phyB,sun,2,1,3.98,Ler
phyB,sun,2,2,3.852,Ler
phyB,sun,2,3,4.995,Ler
phyB,sun,2,4,3.683,Ler
phyB,sun,2,5,4.277,Ler
phyB,sun,2,6,3.766,Ler
phyB,sun,2,7,5.164,Ler
phyB,sun,2,8,4.533,Ler
phyB,sun,2,9,3.6,Ler
phyB,sun,2,10,5.379,Ler
phyB,sun,2,11,2.456,Ler
phyB,sun,2,12,3.641,Ler
phyB,sun,2,13,4.826,Ler
phyB,sun,2,14,2.329,Ler
phyB,sun,2,15,3.132,Ler
phyB,sun,2,16,2.541,Ler
phyB,sun,2,17,3.769,Ler
phyB,sun,2,18,3.471,Ler
phyB,sun,2,19,3.472,Ler
phyD,sun,3,1,1.611,Ler
phyD,sun,3,2,2.125,Ler
phyD,sun,3,3,2.029,Ler
phyD,sun,3,4,1.651,Ler
phyD,sun,3,5,2.62,Ler
phyD,sun,3,6,2.242,Ler
phyD,sun,3,7,2.506,Ler
phyD,sun,3,8,1.956,Ler
phyD,sun,3,9,2.816,Ler
phyD,sun,3,10,1.142,Ler
phyD,sun,3,11,1.312,Ler
phyD,sun,3,12,1.941,Ler
phyD,sun,3,13,1.757,Ler
phyD,sun,3,14,2.073,Ler
phyD,sun,3,15,1.651,Ler
phyD,sun,3,16,1.905,Ler
phyD,sun,3,17,1.185,Ler
phyD,sun,3,18,1.187,Ler
phyD,sun,3,19,1.101,Ler
phyBDE,sun,3,1,4.517,Ler
phyBDE,sun,3,2,4.085,Ler
phyBDE,sun,3,3,3.708,Ler
phyBDE,sun,3,4,5.324,Ler
